rank;word;freq;#texts;%caps;blog;web;TVM;spok;fic;mag;news;acad;blogPM;webPM;TVMPM;spokPM;ficPM;magPM;newsPM;acadPM
4236;jonathan;19643;9617;0,97;1758;2439;2168;3136;2058;2684;3820;1222;14,15;18,96;16,93;24,86;17,39;21,29;31,38;10,20
4237;failing;19642;15762;0,06;3450;3188;1035;1850;1514;2456;3573;2576;27,77;24,79;8,08;14,67;12,80;19,48;29,35;21,50
4238;registered;19640;13195;0,06;3402;3715;1389;1505;1422;2145;3420;2639;27,38;28,89;10,85;11,93;12,02;17,01;28,09;22,03
4239;legislative;19626;10514;0,13;2196;3488;105;1900;104;1687;4715;5431;17,67;27,12;0,82;15,06;0,88;13,38;38,73;45,34
4240;stake;19616;14797;0,03;2224;2111;1999;2795;1406;3168;3702;2199;17,90;16,41;15,61;22,16;11,88;25,12;30,41;18,36
4241;formation;19613;10917;0,05;1918;2734;633;533;977;3845;1159;7814;15,44;21,26;4,94;4,23;8,26;30,49;9,52;65,23
4242;idiot;19612;12526;0,10;3780;2842;8041;711;2894;721;417;204;30,42;22,10;62,78;5,64;24,46;5,72;3,43;1,70
4243;acres;19610;10378;0,05;1101;1326;597;1389;1501;5277;6304;2115;8,86;10,31;4,66;11,01;12,69;41,85;51,78;17,66
4244;salad;19609;9365;0,16;1228;1077;2471;1046;2317;6739;4481;249;9,88;8,37;19,29;8,29;19,58;53,45;36,81;2,08
4245;horror;19605;12729;0,09;3375;3039;1587;1712;4199;2361;2042;1290;27,16;23,63;12,39;13,57;35,49;18,72;16,77;10,77
4246;pizza;19599;9656;0,20;2023;1823;5328;1507;2226;3166;3243;283;16,28;14,17;41,60;11,95;18,81;25,11;26,64;2,36
4247;leaned;19591;10671;0,00;378;944;217;323;15909;944;639;236;3,04;7,34;1,69;2,56;134,46;7,49;5,25;1,97
4248;ruled;19582;14954;0,01;2288;2740;973;2851;1103;2549;4687;2390;18,41;21,30;7,60;22,60;9,32;20,22;38,50;19,95
4249;relatives;19573;13734;0,03;1757;1997;1082;2297;2350;2978;4207;2905;14,14;15,53;8,45;18,21;19,86;23,62;34,56;24,25
4250;ward;19572;9478;0,59;1862;1716;1784;1667;2578;2556;4578;2006;14,99;13,34;13,93;13,22;21,79;20,27;37,60;16,75
4251;agriculture;19566;9621;0,35;1985;2664;302;1427;267;3430;3348;6142;15,98;20,71;2,36;11,31;2,26;27,20;27,50;51,27
4252;fathers;19564;10566;0,20;2460;3147;1243;2352;1923;2749;2058;3631;19,80;24,47;9,71;18,65;16,25;21,80;16,90;30,31
4253;assess;19563;12588;0,03;1445;2176;307;1217;369;1731;1284;11034;11,63;16,92;2,40;9,65;3,12;13,73;10,55;92,11
4254;origin;19563;11637;0,09;2141;4319;834;631;893;2715;1104;6926;17,23;33,58;6,51;5,00;7,55;21,53;9,07;57,82
4255;embrace;19562;15531;0,05;3009;2935;1258;1592;2685;2881;2346;2855;24,22;22,82;9,82;12,62;22,69;22,85;19,27;23,83
4256;qualified;19555;12671;0,04;3141;4260;992;1973;792;1779;2900;3716;25,28;33,12;7,75;15,64;6,69;14,11;23,82;31,02
4257;adams;19544;8183;1,00;1799;2162;1038;3151;1036;2984;5010;2362;14,48;16,81;8,10;24,98;8,76;23,67;41,15;19,72
4258;unions;19543;7777;0,09;5155;3626;245;2035;134;2016;3410;2922;41,49;28,19;1,91;16,13;1,13;15,99;28,01;24,39
4259;slide;19537;13104;0,12;2005;1979;2164;1101;3861;3845;2174;2384;16,14;15,39;16,90;8,73;32,63;30,49;17,86;19,90
